url,name,attributes,colour,price,category,desc
https://www.boohoo.com/faux-fur-collar-chunky-oversized-coatigan/GZZ22669.html,"
Faux Fur Collar Chunky Oversized Coatigan
","48% acrylic, 31% nylon, 21% polyester. Machine wash. Model wears UK size M.","
purple
","
£28.00

",KNITWEAR,"A classic transitional piece that makes layering simple, you can't go wrong with a cardigan. Cosy, soft, and the perfect addition to your new-season wardrobe, evoke effortlessly cool vibes with this cardigan from our latest collection. Layer up in a chunky cable knit cardigan or opt for chenille and bouclé pieces for an edgy vibe. Play down your evening look with a wrap design, or throw a long cardigan over a casual tee, jeans and trainers at the weekend.
"
https://www.boohoo.com/diamond-jumper/FZZ31950.html,"
Diamond Jumper
",75% ACRYLIC 22% RECYCLED POLYESTER 3% ELASTANE. Machine Washable. Model Wears M,"
blue
","
£7.50

",SUSTAINABILITY,"Warm, cosy, and perfect for transitional dressing, jumpers are a key piece for your casual wardrobe, and this style is no exception. A pullover garment that's perfect for layering, our latest drop of women's jumpers boasts on-trend details like fringe trims, statement sleeves and vibrant colours. Try knitted pieces with v-neck shapes and fluted sleeves, or keep things classic in a black jumper. Get on board with street style and try a long jumper styled with chunky trainers and an oversized coat."
https://www.boohoo.com/petite-reindeer-pom-pom-christmas-jumper/PZZ76425.html,"
Petite Reindeer Pom Pom Christmas Jumper
","95% Polyester, 5% Elastane. Machine Wash. Model Wears Size 8.","
navy
","
£9.00

",PETITE KNITWEAR,"A wardrobe essential throughout December, come through this festive season and wrap up in this Christmas Jumper. Featuring long sleeves and an iconic festive print, this cosy Xmas jumper is a whole vibe no matter how you're spending the holidays. Traditonally designed to keep you warm and cosy during winter, a Xmas jumper is perfect for all your plans from family meet-ups to festive drinks. Looing for more designs? We've got you covered, our full range of  women's Christmas jumpers for 2023 has something for everyone this season."
https://www.boohoo.com/tall-fine-knit-roll-neck-jumper/GZZ17463.html,"
Tall Fine Knit Roll Neck Jumper
",80% Viscose. 20% Polyamide. Machine wash. Model wears UK Size 10.,"
turquoise
","
£8.00

",TALL CLOTHING,80% Viscose. 20% Polyamide. Machine wash. Model wears UK Size 10.
https://www.boohoo.com/womens/sale/knitwear,,,,,SALE,
https://www.boohoo.com/petite-premium-chunky-knit-oversized-jumper-/GZZ23533.html,"
Petite Premium Chunky Knit Oversized Jumper
",,"
grey
","
£18.00

",PETITE KNITWEAR,"Keep things cosy this season in boohoo’s range of petite knitwear. Designed especially for petite queens 5’3’’ and under, our pieces been cut slightly shorter to ensure the perfect fit. From petite jumpers to petite cardigans, we’ve got all your off-duty looks sorted, girl. Whether you’re heading for a cosy cinema date or just running errands, this one is the perfect addition to add to your transitional wardrobe. Need inspo? This piece would look killer with mom jeans and chunky trainers."
https://www.boohoo.com/ladder-stitch-jumper-/GZZ29486.html,"
Ladder Stitch Jumper
","50% cotton, 50% acrylic. Machine wash. Model wears UK size M.","
purple
","
£8.00

",KNITWEAR,"Warm, cosy, and perfect for transitional dressing, jumpers are a key piece for your casual wardrobe, and this style is no exception. A pullover garment that's perfect for layering, our latest drop of women's jumpers boasts on-trend details like fringe trims, statement sleeves and vibrant colours. Try knitted pieces with v-neck shapes and fluted sleeves, or keep things classic in a black jumper. Get on board with street style and try a long jumper styled with chunky trainers and an oversized coat."
https://www.boohoo.com/cable-knit-crop-jumper/GZZ35213.html,"
Cable Knit Crop Jumper
",100% acrylic. Machine wash. Model wears UK size M.,"
orange
","
£11.00

",KNITWEAR,Nail new season knitwear in the jumpers and cardigans that are cosy yet cool
https://www.boohoo.com/knitted-balloon-sleeve-jumper/MPP89862.html?color=209,"
Knitted Balloon Sleeve Jumper
",Model wears size UK 8/ EU 36/ AUS 8/ US 4. Model Height 5ft 7. Wash according to the instructions on the label. 100% Acyrlic,"
sage
","
£16.00

",SALE KNITWEAR,Model wears size UK 8/ EU 36/ AUS 8/ US 4. Model Height 5ft 7. Wash according to the instructions on the label. 100% Acyrlic
https://www.boohoo.com/slash-neck-crop-fisherman-jumper/FZZ82258.html?color=123,"
Slash Neck Crop Fisherman Jumper
",100% Acrylic Model wears size M Machine wash at 30 degrees,"
cream
","
£6.00

",SUSTAINABILITY,"Seeking a pullover jumper that brings super flattering vibes? Look no further than this cute cropped jumper. With the hem cut at or above the waist, this type of short jumper usually comes with long sleeves for maximum style impact and extra warmth. Helping to nip you in at the waist and create an hourglass silhouette, it's a look that will serve attitude over and over again. We wear ours with high waisted denim, slick faux leather trousers and bold animal print skirts for a style that breaks the mould."
