url,name,attributes,colour,price,category,desc
https://www.boohoo.com/oversized-tailored-blazer/FZZ26733.html?color=123,"
Oversized Tailored Blazer
 ",90% POLYESTER 10% ELASTANE. MODEL WEARS SIZE 10,"
Select
","
£38.00

",BLAZERS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
https://www.boohoo.com/asymmetric-relaxed-fit-tailored-blazer/GZZ47119.html,"
Asymmetric Relaxed Fit Tailored Blazer
",90% Polyester and 10% Elastane Lining: 100% Polyester. Dry Clean only. Model Wears UK Size 10.,"
chocolate
","
£35.00

",BLAZERS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
https://www.boohoo.com/basic-woven-long-sleeve-relaxed-fit-blazer/GZZ34537.html?color=105,"
Basic Woven Long Sleeve Relaxed Fit Blazer
",95% Polyester and 5% Elastane. Machine washable. Model Wears UK Size 10.,"
black
","
£22.00

",BLAZERS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
https://www.boohoo.com/plus-jersey-ruched-sleeve-belted-blazer/GZZ49729.html?color=851,"
Plus Jersey Ruched Sleeve Belted Blazer
",95% Polyester 5% Elastane. Machine Wash. Model Wears UK Size 16.,"
pale orange
","
£25.00

",PLUS SIZE BLAZERS,Wrap up in the latest coats and jackets and get out-there with your outerwear
https://www.boohoo.com/basic-jersey-check-relaxed-fit-blazer/GZZ34392.html,"
Basic Jersey Check Relaxed Fit Blazer
",95% Polyester and 5% Elastane. Wash with similar colours. Model Wears UK Size 10.,"
black
","
£22.00

",BLAZERS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
https://www.boohoo.com/premium-boucle-check-relaxed-fit-blazer/GZZ33425.html,"
Premium Boucle Check Relaxed Fit Blazer
",80% Cotton 20% Polyester Lining: 100% Polyester. Dry Clean Only. Model Wears 10.,"
bright green
","
£45.00

",BLAZERS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
https://www.boohoo.com/pearl-embellished-oversized-blazer/BPP03643.html?color=143,"
Pearl Embellished Oversized Blazer
",Model wears size UK 8/ EU 36/ AUS 8/ US 4. Model Height 5ft 7. Wash according to the instructions on the label. Main: 97% Polyester 3% Elastane Lining: 100% Polyester,"
mint
","
£59.50

",WOMENS,Model wears size UK 8/ EU 36/ AUS 8/ US 4. Model Height 5ft 7. Wash according to the instructions on the label. Main: 97% Polyester 3% Elastane Lining: 100% Polyester
https://www.boohoo.com/ruched-sleeve-blazer/DZZ81444.html?color=111,"
Ruched Sleeve Blazer
","88% Polyester 12% Elastane. Flat Measurement of Garment Not Worn Size S. Length To Hem 59cm/23"". Sleeve Length: 46cm/18"". Machine Washable. Model Wears Size S.","
camel
","
£16.80

",BLAZERS,"The rules of Friday-night dressing have changed and soft tailoring is hot AF right now. Simply throw on this ruched-sleeve blazer over your separates for instant sass as you head out with the gang. With 3/4 sleeves and side-slit pockets, this ruched-sleeve jacket is your fast-track route to bossin' styling. "
https://www.boohoo.com/plunge-relaxed-fit-tailored-blazer/GZZ48637.html?color=155,"
Plunge Relaxed Fit Tailored Blazer
",90% Polyester and 10% Elastane Lining: 100% Polyester. Dry Clean only. Model Wears UK Size 10.,"
pink
","
£35.00

",BLAZERS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
https://www.boohoo.com/ombre-sequin-tailored-blazer/GZZ20536.html?color=107,"
Ombre Sequin Tailored Blazer
",Backing: 100% Polyester Lining 100% Polyester Excluding trim: Hand wash. Wash with similar colours. Wash inside out. Model wears size 10.,"
blush
","
£42.00

",COATS & JACKETS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
